x,y,z
-340.537,-649.036,1124.17
-348.661,-650.027,1125.88
-356.663,-649.978,1125.8
-364.011,-648.959,1124.03
-372.573,-649.824,1125.53
-379.67,-648.796,1123.75
-387.128,-647.693,1121.84
-395.157,-647.526,1121.55
-403.07,-647.353,1121.25
-411.117,-647.136,1120.88
-418.799,-646.954,1120.56
-426.862,-646.688,1120.1
-435.447,-647.366,1121.28
-442.171,-647.283,1121.13
-451.458,-648.855,1123.85
-459.584,-648.489,1123.22
-467.037,-647.156,1120.91
-475.481,-647.748,1121.94
-482.925,-646.369,1119.55
-490.941,-645.928,1118.78
-500.527,-647.303,1121.17
-508.326,-646.857,1120.39
-512.791,-641.67,1111.41
-524.558,-645.768,1118.51
-535.795,-648.87,1123.88
-538.608,-641.786,1111.61
-547.182,-642.145,1112.23
-555.232,-641.504,1111.12
-564.213,-641.728,1111.51
-574.033,-642.834,1113.42
-582.701,-643.077,1113.85
-591.762,-643.208,1114.07
-600.721,-643.336,1114.29
-609.826,-643.405,1114.41
-619.818,-644.344,1116.04
-628.605,-644.438,1116.2
-637.659,-644.443,1116.21
-647.754,-645.279,1117.66
-655.168,-643.405,1114.42
-663.829,-644.558,1116.41
-674.011,-645.298,1117.69
-681.99,-644.33,1116.02
-691.283,-644.12,1115.65
-700.47,-643.912,1115.29
-709.798,-643.638,1114.82
-719.143,-643.331,1114.29
-726.163,-641.357,1110.87
-735.397,-641.028,1110.3
-749.796,-644.954,1117.1
-760.248,-645.371,1117.82
-768.315,-644.143,1115.69
-777.658,-643.672,1114.88
-787.139,-643.13,1113.94
-798.74,-644.256,1115.89
-809.329,-644.488,1116.29
-818.507,-643.955,1115.37
-827.943,-643.312,1114.25
-838.606,-643.433,1114.46
-847.818,-644.003,1115.45
-857.432,-643.218,1114.09
-867.056,-642.399,1112.67
-878.575,-643.324,1114.27
-890.388,-644.119,1115.65
-901.223,-644.005,1115.45
-910.929,-643.035,1113.77
-921.808,-642.842,1113.44
-928.821,-640.314,1109.06
-939.6,-640.095,1108.68
-952.912,-641.396,1110.93
-963.881,-641.042,1110.32
-976.084,-641.443,1111.02
-987.836,-641.984,1111.95
-998.891,-641.499,1111.11
-1011.21,-641.757,1111.56
-1022.08,-642.554,1112.94
-1033.22,-641.941,1111.88
-1044.38,-641.285,1110.74
-1057.73,-642.282,1112.47
-1070.09,-642.353,1112.59
-1082.62,-642.324,1112.54
-1093.89,-641.482,1111.08
-1103.86,-639.84,1108.24
-1118.6,-641.389,1110.92
-1133.9,-642.661,1113.13
-1145.27,-641.627,1111.33
-1159.34,-642.034,1112.04
-1170.26,-641.128,1110.47
-1184.4,-641.425,1110.99
-1197.22,-640.931,1110.13
-1207.22,-640.353,1109.13
-1220.09,-639.765,1108.11
-1235.76,-640.564,1109.49
-1248.7,-639.862,1108.28
-1262.94,-639.879,1108.31
-1275.56,-639.25,1107.22
-1290,-639.09,1106.94
-1301.62,-637.468,1104.13
-1315.99,-637.255,1103.76
-1334.86,-638.992,1106.77
-1348,-637.891,1104.86
-1363.71,-638.299,1105.57
-1379.72,-638.508,1105.93
-1392.94,-637.229,1103.72
-1407.81,-637.979,1105.02
-1425.43,-638.659,1106.19
-1441.74,-638.527,1105.97
-1456.58,-637.663,1104.47
-1472.84,-637.46,1104.12
-1488.91,-637.329,1103.89
-1503.85,-636.265,1102.05
-1521.88,-636.42,1102.32
-1536.89,-635.218,1100.23
-1550.24,-633.392,1097.07
-1571.51,-634.578,1099.12
-1590.92,-635.267,1100.32
-1607.62,-634.398,1098.81
-1619.75,-633.155,1096.66
-1639.67,-633.377,1097.05
-1656.34,-632.371,1095.3
-1673.17,-631.21,1093.29
-1693.23,-631.169,1093.22
-1716.57,-632.219,1095.04
-1736.39,-632.229,1095.06
-1753.25,-630.812,1092.6
-1770.26,-629.236,1089.87
-1793.84,-629.881,1090.99
-1817.37,-630.498,1092.06
-1840.73,-631.179,1093.24
-1856.93,-629.951,1091.11
-1870.67,-626.916,1085.85
-1894.17,-627.318,1086.55
-1924.78,-629.523,1090.37
-1942.08,-627.232,1086.4
-1959.26,-624.956,1082.46
-1983.34,-624.641,1081.91
-2007.12,-624.495,1081.66
-2034.72,-624.993,1082.52
-2062.27,-625.452,1083.32
-2055.71,-615.401,1065.91
-2066.2,-610.495,1057.41
-2097.37,-611.595,1059.32
-2097.1,-603.859,1045.92
-2096.94,-595.942,1032.21
-2096.78,-587.945,1018.35
-2100.01,-580.936,1006.21
-2096.02,-572.112,990.931
-2095.2,-564.479,977.71
-2098.12,-557.505,965.63
-2100.96,-550.533,953.554
-2103.71,-543.563,941.482
-2102.69,-535.788,928.015
-2105.25,-528.834,915.97
-2107.41,-522.185,904.455
-2109.79,-515.237,892.421
-2111.98,-508.395,880.569
-2106.95,-499.74,865.579
-2109.05,-492.825,853.601
-2107.41,-485.078,840.183
-2105.31,-477.761,827.509
-2107.12,-470.882,815.594
-2108.84,-464.008,803.688
-2106.8,-456.345,790.415
-2104.57,-448.81,777.364
-2113.13,-443.827,768.734
-2114.51,-436.978,756.871
-2115.79,-430.136,745.019
-2116.99,-423.3,733.181
-2118.03,-416.574,721.53
-2119.05,-409.754,709.717
-2119.76,-403.247,698.446
-2116.87,-395.742,685.448
-2113.81,-388.369,672.678
-2118.24,-382.283,662.136
-2118.83,-375.516,650.415
-2119.34,-368.758,638.711
-2119.48,-362.417,627.726
-2119.83,-355.678,616.055
-2120.82,-347.832,602.465
-2120.78,-341.419,591.357
-2120.86,-334.711,579.739
-2124.68,-328.606,569.164
-2124.53,-322.012,557.742
-2128.2,-315.896,547.149
-2124.12,-308.653,534.605
-2127.63,-302.538,524.014
-2127,-296.286,513.184
-2126.51,-289.638,501.669
-2125.94,-283.002,490.176
-2125.29,-276.379,478.705
-2132.26,-270.857,469.139
-2131.46,-264.238,457.675
-2130.58,-257.633,446.235
-2133.51,-251.501,435.613
-2128.38,-244.873,424.134
-2131.16,-238.747,413.524
-2133.87,-232.614,402.9
-2132.6,-226.057,391.544
-2127.29,-219.215,379.693
-2129.78,-213.093,369.089
-2132.19,-206.964,358.473
